15249, 469529
16691, 510731
11130, 331964
15150, 460225
14743, 451707
11392, 338707
17372, 536023
12013, 362156
15318, 483061
13722, 433105
16719, 505356
12324, 380670
10343, 299873
16924, 513465
15898, 480242
14852, 445881
13350, 392810
18318, 561115
14545, 453576
14896, 438509
11743, 346879
19471, 611548
10578, 309583
14753, 449384
13033, 385363
15645, 486512
12124, 363848
10032, 285553
18589, 611910
14042, 423621
19121, 605291
12158, 372295
13824, 412183
15711, 467725
19203, 604083
17491, 536660
14835, 441378
10755, 318753
15107, 461331
17906, 568835
16244, 494508
17543, 562301
13151, 388210
13034, 383960
12906, 383954
13085, 400950
10481, 303275
17747, 554313
16674, 507395
15998, 499054
19349, 603318
16576, 505183
13790, 417695
13277, 397323
19759, 618053
19792, 631552
14851, 455672
18768, 583537
17961, 571162
11211, 328437
10549, 332419
10786, 319677
10922, 320423
17828, 559766
11955, 352490
10458, 313856
13676, 430237
14653, 457539
15968, 483638
11064, 327599
19710, 617051
16634, 516118
10568, 314806
13520, 410617
16384, 514276
14933, 461307
11622, 344561
19202, 599889
14507, 448197
18557, 573919
19888, 629395
19326, 599357
19376, 608786
14112, 428157
10967, 325869
16783, 509088
12345, 360357
14140, 421581
18670, 591826
12666, 384912
15494, 488287
17709, 542436
13050, 390243
12627, 393034
16899, 532296
15086, 462213
19991, 638485
18405, 571054
18133, 577531
15279, 474109
12208, 365959
16289, 504204
11808, 355091
12725, 393860
15018, 463446
17493, 545805
17851, 546853
16035, 482711
12123, 360710
10112, 294051
18573, 585417
13586, 406681
14454, 440766
16483, 513679
14039, 420375
15445, 481586
18370, 580179
17333, 543121
19403, 598930
18631, 589335
15597, 490293
10194, 294366
16474, 494013
11617, 346081
14887, 451332
19740, 612840
16192, 486370
17771, 544062
13535, 401172
14935, 451704
13747, 405732
18264, 559735
10930, 325234
14045, 424007
11556, 346402
13269, 401934
19155, 598314
15030, 461634
10645, 309689
14637, 441251
16393, 499290
17839, 559537
12257, 370562
13309, 400361
15896, 483289
16657, 517961
15772, 501084
19393, 609224
14996, 461063
12768, 387601
18148, 556241
14108, 420409
18303, 573101
11865, 350994
13144, 391056
14118, 424273
18589, 570102
15957, 478100
15879, 490613
16656, 521971
19658, 616851
10728, 334242
19982, 631445
16656, 513516
19725, 612953
13895, 430820
17268, 546807
14198, 435607
13998, 445290
16803, 526154
17420, 536854
18097, 564867
12056, 361434
10994, 317572
10581, 324974
10233, 303226
10882, 322670
13952, 427950
18063, 582438
18408, 571007
15627, 472320
16734, 531329
16723, 512045
15634, 478648
16335, 499094
12941, 388285
13390, 406920
18095, 567419
12934, 376618
18792, 588285
13593, 421830
13633, 419513
14305, 422212
11422, 347734
12830, 386650
16801, 541355
16234, 500272
16395, 512064
13153, 390485
10591, 315306
17382, 530983
18237, 599541
19660, 610340
15930, 494140
17413, 544050
18648, 576399
17776, 541633
16567, 504240
19931, 639341
18893, 584466
12382, 377347
16953, 509608
17443, 534186
17830, 570063
13617, 403341
16301, 495214
16149, 510025
13203, 397869
10890, 318517
14531, 443039
18220, 569889
14530, 456261
14281, 432625
16591, 509640
11913, 359041
17683, 547177
17912, 555257
18951, 582055
18515, 570824
11586, 338027
14295, 432751
14965, 459949
11231, 328447
18927, 590699
11772, 350443
13026, 409564
10608, 318749
12748, 380528
12097, 360189
18906, 591755
18129, 568532
18336, 552737
12862, 387746
11991, 355033
14283, 443177
13196, 395820
11900, 355621
17656, 554076
16252, 503332
16634, 503655
16006, 498989
16025, 488859
19656, 604221
11065, 323156
17613, 544319
15351, 467131
19118, 593991
18141, 570582
18691, 590856
18130, 567128
10632, 328260
16186, 499900
11027, 329986
19734, 616785
14819, 442128
15820, 486708
11406, 333156
13037, 396333
16764, 521941
12444, 370025
13863, 414460
18553, 570923
17335, 572156
18165, 561195
16642, 503573
15840, 490824
12909, 388344
19500, 614117
18204, 573574
19299, 601758
11812, 350885
17860, 543995
15718, 513941
12102, 361093
12626, 379429
16719, 515569
18604, 568611
11891, 353575
16916, 526068
12110, 360772
18748, 588605
12639, 382757
19395, 622597
14190, 427113
17446, 536141
15945, 492203
11463, 348152
19358, 607992
15156, 484179
10647, 327117
